1712603019119|11|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT version()|SELECT version()
1712603019123|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT version()|SELECT version()
1712603019130|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SHOW search_path|SHOW search_path
1712603019131|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT CURRENT_USER|SELECT CURRENT_USER
1712603019133|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT current_schema|SELECT current_schema
1712603019133|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SHOW search_path|SHOW search_path
1712603019136|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT current_schema|SELECT current_schema
1712603019137|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SHOW search_path|SHOW search_path
1712603019138|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT current_user|SELECT current_user
1712603019167|20|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT COUNT(*) FROM pg_namespace WHERE nspname=?|SELECT COUNT(*) FROM pg_namespace WHERE nspname='public'
1712603019181|1|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SET ROLE 'postgres'|SET ROLE 'postgres'
1712603019188|6|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT EXISTS (   SELECT 1   FROM   pg_catalog.pg_class c   JOIN   pg_catalog.pg_namespace n ON n.oid = c.relnamespace   WHERE  n.nspname = ?   AND    c.relname = ?   AND    c.relkind = 'r' )|SELECT EXISTS (   SELECT 1   FROM   pg_catalog.pg_class c   JOIN   pg_catalog.pg_namespace n ON n.oid = c.relnamespace   WHERE  n.nspname = 'public'   AND    c.relname = '_SCHEMA_VERSION'   AND    c.relkind = 'r' )
1712603019198|6|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|/*NO LOAD BALANCE*/ SELECT "installed_rank","version","description","type","script","checksum","installed_on","installed_by","execution_time","success" FROM "public"."_SCHEMA_VERSION" WHERE "installed_rank" > ? ORDER BY "installed_rank"|/*NO LOAD BALANCE*/ SELECT "installed_rank","version","description","type","script","checksum","installed_on","installed_by","execution_time","success" FROM "public"."_SCHEMA_VERSION" WHERE "installed_rank" > -1 ORDER BY "installed_rank"
1712603019207|1|commit|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public||
1712603019208|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SET ROLE 'postgres'|SET ROLE 'postgres'
1712603019210|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT set_config('search_path', ?, false)|SELECT set_config('search_path', 'public', false)
1712603019211|0|commit|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public||
1712603146135|2|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT version()|SELECT version()
1712603146140|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SELECT version()|SELECT version()
1712603146148|0|statement|connection 0|url jdbc:p6spy:postgresql://localhost:5432/postgres?currentSchema=public|SHOW search_path|SHOW search_path
